player_id,pos,player,team,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,targets,rec,rec_yds,rec_td,fumbles_lost,two_point_conv,total_ret_td,offensive_fumble_recovery_td,pass_rating
AbduAm00,RB,Ameer Abdullah,LVR,0,0,0,0,0,4,20,0,32,25,211,1,0,0,0,0,0.0
AdamDa01,WR,Davante Adams,LVR,0,0,0,0,0,3,-1,0,180,100,1516,14,0,0,0,0,0.0
AghoNe00,WR,Nelson Agholor,NWE,0,0,0,0,0,0,0,0,53,31,362,2,2,0,0,0,0.0
AgneJa00,WR,Jamal Agnew,JAX,0,0,0,0,0,12,86,0,30,23,187,3,0,1,0,0,0.0
AhmeSa01,RB,Salvon Ahmed,MIA,0,0,0,0,0,12,64,1,1,1,8,0,0,0,0,0,0.0
AiyuBr00,WR,Brandon Aiyuk,SFO,0,0,0,0,0,2,23,0,114,78,1015,8,1,0,0,0,0.0
AkerCa00,RB,Cam Akers,LAR,0,0,0,0,0,188,786,7,18,13,117,0,2,0,0,0,0.0
AkinJo00,TE,Jordan Akins,HOU,0,0,0,0,0,0,0,0,54,37,495,5,1,1,0,0,0.0
AlexMa02,WR,Maurice Alexander,DET,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0.0
AlieMo00,TE,Mo Alie-Cox,IND,0,0,0,0,0,0,0,0,28,19,189,3,1,0,0,0,0.0
AlixJo00,WR,Josh Ali,ATL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
AlleBr00,QB,Brandon Allen,CIN,3,3,22,0,0,3,-1,0,0,0,0,0,0,0,0,0,115.97
AlleCh03,TE,Chase Allen,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
AlleJo02,QB,Josh Allen,BUF,359,567,4283,35,14,124,762,7,0,0,0,0,5,2,0,0,96.61
AlleKe00,WR,Keenan Allen,LAC,0,0,0,0,0,1,8,0,89,66,752,4,1,0,0,0,0.0
AlleKy00,QB,Kyle Allen,HOU,46,78,416,2,4,6,13,0,0,0,0,0,1,0,0,0,60.63
AlleMa03,LB,Marcus Allen,PIT,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0.0
AllgTy00,RB,Tyler Allgeier,ATL,0,0,0,0,0,210,1035,3,17,16,139,1,0,1,0,0,0.0
AndeRo04,WR,Robbie Anderson,ARI,0,0,0,0,0,0,0,0,44,20,282,1,1,0,0,0,0.0
AndeSt01,TE,Stephen Anderson,ARI,0,0,0,0,0,0,0,0,7,3,9,0,0,0,0,0,0.0
AndrMa00,TE,Mark Andrews,BAL,0,0,0,0,0,3,8,0,113,73,847,5,0,1,0,0,0.0
AngeBr00,P,Bryan Anger,DAL,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
ArmaAl00,RB,Alex Armah,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ArnoDa00,TE,Dan Arnold,JAX,0,0,0,0,0,0,0,0,13,9,135,0,0,0,0,0,0.0
AsiaDe00,TE,Devin Asiasi,CIN,0,0,0,0,0,0,0,0,4,2,5,0,0,0,0,0,0.0
AtweTu00,WR,Tutu Atwell,LAR,0,0,0,0,0,9,34,1,35,18,298,1,0,0,0,0,0.0
BaccAn00,WR,Andre Baccellia,ARI,0,0,0,0,0,0,0,0,10,7,45,0,0,0,0,0,0.0
BadiTy00,RB,Tyler Badie,DEN,0,0,0,0,0,1,0,0,1,1,24,1,0,0,0,0,0.0
BakhDa00,T,David Bakhtiari,GNB,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
BaldDa01,WR,Daylen Baldwin,CLE,0,0,0,0,0,0,0,0,2,2,25,0,0,0,0,0,0.0
BandMi00,WR,Michael Bandy,LAC,0,0,0,0,0,0,0,0,21,10,89,0,0,0,0,0,0.0
BarkSa00,RB,Saquon Barkley,NYG,0,0,0,0,0,295,1312,10,76,57,338,0,0,1,0,0,0.0
BateJo00,TE,John Bates,WAS,0,0,0,0,0,0,0,0,22,14,108,1,0,0,0,0,0.0
BateRa00,WR,Rashod Bateman,BAL,0,0,0,0,0,0,0,0,28,15,285,2,1,0,0,0,0.0
BeasCo00,WR,Cole Beasley,BUF,0,0,0,0,0,0,0,0,7,6,35,0,0,0,0,0,0.0
BeatC.00,QB,C.J. Beathard,JAX,7,11,35,0,1,4,-4,0,0,0,0,0,0,0,0,0,30.49
BeckAn01,TE,Andrew Beck,DEN,0,0,0,0,0,2,0,0,11,5,69,0,0,0,0,0,0.0
BellBl00,TE,Blake Bell,KAN,0,0,0,0,0,0,0,0,2,2,20,1,0,0,0,0,0.0
BellDa00,TE,Daniel Bellinger,NYG,0,0,0,0,0,1,2,1,35,30,268,2,1,1,0,0,0.0
BellDa02,WR,David Bell,CLE,0,0,0,0,0,0,0,0,35,24,214,0,0,0,0,0,0.0
BellNi01,LB,Nick Bellore,SEA,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0.0
BenjEn00,RB,Eno Benjamin,NOR,0,0,0,0,0,77,313,2,34,25,193,0,0,1,0,0,0.0
BensTr00,WR,Trinity Benson,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BernGi00,RB,Giovani Bernard,TAM,0,0,0,0,0,8,28,0,2,2,-1,0,0,0,0,0,0.0
BernJa00,WR,Jared Bernhardt,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BerrBr00,WR,Braxton Berrios,NYJ,1,1,2,1,0,9,91,2,32,18,145,0,0,0,0,0,427.08
BerrSt00,WR,Stanley Berryhill,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BlacRa00,RB,Raheem Blackshear,CAR,0,0,0,0,0,23,77,3,12,10,93,0,1,0,0,0,0.0
BlanKe01,TE,Kendall Blanton,LAR,0,0,0,0,0,0,0,0,2,2,35,0,0,0,0,0,0.0
BlasKh00,FB,Khari Blasingame,CHI,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
BlouDa00,QB,David Blough,ARI,38,58,402,2,2,4,5,0,0,0,0,0,1,0,0,0,82.69
BoarC.00,WR,C.J. Board,TEN,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0.0
BoldBr00,RB,Brandon Bolden,LVR,0,0,0,0,0,17,66,0,9,9,57,1,0,0,0,0,0.0
BonnRe00,RB,Reggie Bonnafon,WAS,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0.0
BoonMi00,RB,Mike Boone,DEN,0,0,0,0,0,24,102,0,15,9,96,0,0,0,0,0,0.0
BourKe00,WR,Kendrick Bourne,NWE,0,0,0,0,0,6,39,0,48,35,434,1,0,0,0,0,0.0
BowdLy00,RB,Lynn Bowden Jr.,NWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BoydTy00,WR,Tyler Boyd,CIN,1,1,23,0,0,0,0,0,82,58,762,5,0,1,0,0,181.25
BoykMi00,WR,Miles Boykin,PIT,0,0,0,0,0,0,0,0,3,2,11,0,0,0,0,0,0.0
BoylNi00,TE,Nick Boyle,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BoylTi00,QB,Tim Boyle,CHI,2,8,33,0,2,2,-2,0,0,0,0,0,0,0,0,0,-64.06
BradTo00,QB,Tom Brady,TAM,490,733,4694,25,9,29,-1,1,1,0,0,0,4,2,0,0,90.73
BratCa00,TE,Cameron Brate,TAM,0,0,0,0,0,0,0,0,38,20,174,0,0,0,0,0,0.0
BreiMa00,RB,Matt Breida,NYG,0,0,0,0,0,54,220,1,25,20,118,0,0,0,0,0,0.0
BridTe00,QB,Teddy Bridgewater,MIA,49,79,683,4,4,3,27,0,0,0,0,0,0,0,0,0,85.57
BrigGa00,RB,Gary Brightwell,NYG,0,0,0,0,0,31,141,1,8,5,39,0,0,0,0,0,0.0
BrisJa00,QB,Jacoby Brissett,CLE,236,369,2608,12,6,49,243,2,0,0,0,0,4,0,0,0,88.89
BrowAJ00,WR,A.J. Brown,PHI,0,0,0,0,0,0,0,0,145,88,1496,11,2,0,0,0,0.0
BrowAn06,QB,Anthony Brown,BAL,22,49,302,0,2,3,-5,0,0,0,0,0,1,0,0,0,48.17
BrowDy00,WR,Dyami Brown,WAS,0,0,0,0,0,1,15,0,14,5,143,2,0,0,0,0,0.0
BrowJo02,WR,John Brown,BUF,0,0,0,0,0,0,0,0,2,1,42,1,0,0,0,0,0.0
BrowMa03,RB,Malcolm Brown,LAR,0,0,0,0,0,18,81,1,6,5,37,0,0,0,0,0,0.0
BrowMa04,WR,Marquise Brown,ARI,0,0,0,0,0,1,1,0,107,67,709,3,0,0,0,0,0.0
BrowNo00,WR,Noah Brown,DAL,0,0,0,0,0,0,0,0,74,43,555,3,1,0,0,0,0.0
BrowPh01,TE,Pharaoh Brown,CLE,0,0,0,0,0,0,0,0,20,12,117,0,0,0,0,0,0.0
BrowSp01,RB,Spencer Brown,CAR,0,0,0,0,0,9,43,0,4,2,10,0,0,0,0,0,0.0
BryaHa00,TE,Harrison Bryant,CLE,0,0,0,0,0,1,8,0,42,31,239,1,0,0,0,0,0.0
BurkRe00,RB,Rex Burkhead,HOU,0,1,0,0,0,26,80,0,51,37,204,1,0,0,0,0,2.08
BurkTr00,WR,Treylon Burks,TEN,0,0,0,0,0,4,47,0,54,33,444,1,0,0,0,0,0.0
BurrJo01,QB,Joe Burrow,CIN,414,606,4475,35,12,75,257,5,0,0,0,0,3,4,0,0,100.78
BurtMi00,FB,Michael Burton,KAN,0,0,0,0,0,5,7,0,3,2,11,0,0,0,0,0,0.0
ByrdDa00,WR,Damiere Byrd,ATL,0,0,0,0,0,0,0,0,23,13,268,2,0,0,0,0,0.0
CabiJa00,FB,Jason Cabinda,DET,0,0,0,0,0,1,4,0,4,1,5,0,0,0,0,0,0.0
CageLa01,WR,Lawrence Cager,NYG,0,0,0,0,0,0,0,0,19,13,118,1,0,0,0,0,0.0
CalcGr00,TE,Grant Calcaterra,PHI,0,0,0,0,0,0,0,0,9,5,81,0,0,0,0,0,0.0
CallMa01,WR,Marquez Callaway,NOR,0,0,0,0,0,0,0,0,32,16,158,1,0,0,0,0,0.0
CampJa03,WR,Jalen Camp,HOU,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0.0
CampPa00,WR,Parris Campbell,IND,0,0,0,0,0,5,58,0,91,63,623,3,0,0,0,0,0.0
CarrDe02,QB,Derek Carr,LVR,305,502,3522,24,14,24,102,0,0,0,0,0,0,0,0,0,86.26
CartCe00,TE,Cethan Carter,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
CartDe02,WR,DeAndre Carter,LAC,0,0,0,0,0,2,-15,0,65,46,538,3,2,0,0,0,0.0
CartMi03,RB,Michael Carter,NYJ,0,0,0,0,0,114,402,3,54,41,288,0,1,0,0,0,0.0
CartRo03,TE,Roger Carter,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
CartTo01,FB,Tory Carter,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
CephQu00,WR,Quintez Cephus,DET,0,0,0,0,0,0,0,0,3,2,15,0,0,0,0,0,0.0
ChanSe00,SS,Sean Chandler,CAR,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.0
ChanTy01,RB,Ty Chandler,MIN,0,0,0,0,0,6,20,0,0,0,0,0,0,0,0,0,0.0
CharDJ00,WR,DJ Chark,DET,0,0,0,0,0,0,0,0,52,30,502,3,0,0,0,0,0.0
ChasJa00,WR,Ja'Marr Chase,CIN,0,0,0,0,0,5,8,0,134,87,1046,9,2,0,0,0,0.0
ChesJu00,RB,Julius Chestnut,TEN,0,0,0,0,0,9,12,0,3,3,41,0,0,0,0,0,0.0
ChubNi00,RB,Nick Chubb,CLE,0,0,0,0,0,302,1525,12,37,27,239,1,1,1,0,0,0.0
ClayCh01,WR,Chase Claypool,CHI,1,1,1,1,0,9,59,0,79,46,451,1,1,0,0,0,422.92
ClemCo00,RB,Corey Clement,ARI,0,0,0,0,0,15,55,1,7,5,54,0,0,0,0,0,0.0
ClevTy00,WR,Tyrie Cleveland,DEN,0,0,0,0,0,0,0,0,7,2,28,0,0,0,0,0,0.0
CobbRa00,WR,Randall Cobb,GNB,0,0,0,0,0,0,0,0,50,34,417,1,0,0,0,0,0.0
ColeKe00,WR,Keelan Cole,LVR,0,0,0,0,0,0,0,0,21,10,141,1,0,0,0,0,0.0
ColeTe01,RB,Tevin Coleman,SFO,0,0,0,0,0,12,26,1,3,3,44,1,0,0,0,0,0.0
CollNi00,WR,Nico Collins,HOU,0,0,0,0,0,0,0,0,66,37,481,2,0,0,0,0,0.0
ConkJa00,T,Jack Conklin,CLE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
ConkTy00,TE,Tyler Conklin,NYJ,0,0,0,0,0,2,3,0,87,58,552,3,0,0,0,0,0.0
ConlCh00,WR,Chris Conley,TEN,0,0,0,0,0,0,0,0,7,4,46,0,0,0,0,0,0.0
ConnJa00,RB,James Conner,ARI,0,0,0,0,0,183,782,7,58,46,300,1,1,0,0,0,0.0
ConnSn00,RB,Snoop Conner,JAX,0,0,0,0,0,12,42,1,0,0,0,0,0,0,0,0,0.0
ConnTa00,WR,Tanner Conner,MIA,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.0
CookBr00,WR,Brandin Cooks,HOU,0,0,0,0,0,2,7,0,93,57,699,3,0,0,0,0,0.0
CookDa01,RB,Dalvin Cook,MIN,0,0,0,0,0,264,1173,8,56,39,295,2,4,0,0,0,0.0
CookJa01,RB,James Cook,BUF,0,0,0,0,0,89,507,2,32,21,180,1,1,0,0,0,0.0
CoopAm00,WR,Amari Cooper,CLE,0,1,0,0,1,0,0,0,132,78,1160,9,0,0,0,0,-414.58
CoopPh00,WR,Pharoh Cooper,ARI,0,0,0,0,0,4,15,0,2,2,6,0,0,0,0,0,0.0
CousKi00,QB,Kirk Cousins,MIN,424,643,4547,29,14,31,97,2,0,0,0,0,3,3,0,0,92.46
CoutKe00,WR,Keke Coutee,IND,0,0,0,0,0,0,0,0,1,1,20,0,1,0,0,0,0.0
CoveBr00,WR,Britain Covey,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
CracRi00,WR,River Cracraft,MIA,0,0,0,0,0,0,0,0,14,9,102,2,0,0,0,0,0.0
CrowJa00,WR,Jamison Crowder,BUF,0,0,0,0,0,0,0,0,13,6,60,0,0,0,0,0,0.0
DallDe00,RB,DeeJay Dallas,SEA,0,1,0,0,1,35,186,0,19,17,126,0,0,0,0,0,-414.58
DaltAn00,QB,Andy Dalton,NOR,252,378,2871,18,9,30,54,0,0,0,0,0,1,1,0,0,95.24
DaniCh00,QB,Chase Daniel,LAC,8,12,52,1,0,1,4,0,0,0,0,0,0,1,0,0,103.47
DarbFr00,WR,Frank Darby,ATL,0,0,0,0,0,0,0,0,1,1,15,0,0,0,0,0,0.0
DardJa00,WR,Jaelon Darden,CLE,0,0,0,0,0,1,2,0,2,2,26,0,0,0,0,0,0.0
DarnSa00,QB,Sam Darnold,CAR,82,140,1143,7,3,26,106,2,0,0,0,0,2,0,0,0,92.65
